"","Switch.Name","Manufacturer","Type","Push.Feel","Wobble","Sound","Total"
"69","Zeal Crystal","Gateron","Tactile",28,20,5,53
"70","Cherry MX 'New Nixie' (Black Clear-Top)","Cherry","Linear",27,20,6,53
"71","Novelkeys Cream+ (Copper Insert)","Kailh","Linear",28,18,7,53
"72","Gateron Hippo","Gateron","Linear",28,19,5,52
"73","Gateron Azure Dragon","Gateron","Tactile",29,17,6,52
"74","KTT Mallo","KTT","Tactile",30,16,6,52
"75","TTC Wild (42g.)","TTC","Linear",29,18,5,52
"76","Ajazz x Huano Peach","Huano","Linear",29,16,7,52
"77","Ajazz x Huano Kiwi","Huano","Tactile",30,16,6,52
"78","Gateron X Yellow","Gateron","Linear",28,17,7,52
"79","Akko CS Jelly White","KTT","Linear",27,19,6,52
"80","NK Silk Mictlan","Durock/JWK","Linear",29,17,6,52
"81","Kailh Autumn","Kailh","Clicky",28,16,8,52
"82","Glorious Panda","Tecsee","Tactile",30,16,5,51
"83","Gateron Kangaroo Inks","Gateron","Tactile",28,16,7,51
"84","Outemu Clear","Outemu","Clicky",24,22,5,51
"85","Raed","Tecsee","Linear",27,17,7,51
"86","Neapolitan Ice Creams","Tecsee","Tactile",30,14,7,51
"87","Husky","Tecsee","Linear",28,17,6,51
"88","Star Grey","SP Star","Linear",28,16,7,51
"89","Star Purple","SP Star","Tactile",29,16,6,51
"90","Anubis","Durock/JWK","Tactile",29,15,7,51
"91","Auralite","Tecsee","Linear",27,18,6,51
"92","SP Star Marble Soda Melon","SP Star","Linear",27,18,6,51
"93","TTC Brother","TTC","Clicky",27,17,7,51
"94","Kailh Box Speed Ultimate","Kailh","Linear",30,17,4,51
"95","Mengmoda Ice Cream","Aflion","Linear",28,16,7,51
"96","Novelkeys Cream Arc","Kailh","Linear",28,18,5,51
"97","JWICK Taro","Durock/JWK","Tactile",26,20,5,51
"98","TKC Blackberry","Tecsee","Clicky",28,16,7,51
"99","Haimu Heartbeat","Haimu","Silent Linear",27,17,7,51
"100","Novelkeys Dream Cream","Kailh","Linear",27,18,6,51
"101","Betty","Haimu","Tactile",27,18,6,51
"102","Gateron Azure Dragon V2","Gateron","Tactile",27,19,5,51
"103","Novelkeys Cream+ (Titanium Insert)","Kailh","Linear",27,18,6,51
"104","Huano Earth Yellow","Huano","Linear",28,17,6,51
"105","Qeeke Begonia (Crabapple)","Unknown","Linear",27,17,7,51
"106","Gateron Root Beer Float","Gateron","Tactile",28,18,5,51
"107","BSUN POM Linear","BSUN","Linear",29,15,6,50
"108","Gateron Cap Brown","Gateron","Tactile",28,15,7,50
"109","KTT Kang White","KTT","Linear",28,15,7,50
"110","Hexin Workshop Bamboo Green (60g)","Durock/JWK","Tactile",27,16,7,50
"111","Penyu","Durock/JWK","Linear",26,19,5,50
"112","Gateron SolDark","Gateron","Tactile",29,16,5,50
"113","Tsavorite","Durock/JWK","Linear",27,17,6,50
"114","Leobog Pig Synapse","Unknown","Tactile",25,22,3,50
"115","Lumia Matcha (62g)","Unknown","Linear",26,17,7,50
"116","Zeal Clickiez 75g. (Linear)","Gateron","Linear",27,18,5,50
"117","Akko V3 Cream Blue","KTT","Tactile",26,19,5,50
"118","Novelkeys Cream+ (No Insert)","Kailh","Linear",26,18,6,50
"119","Rubrehose Brown","Tecsee","Linear",27,17,6,50
"120","BSUN Avocado Panda V2","BSUN","Tactile",27,18,5,50
"121","Original Aspiration (Sample)","Durock/JWK","Linear",28,17,4,49
"122","NK x Kailh Speed Heavy Pale Blue","Kailh","Clicky",27,15,7,49
"123","TTC Blueish White","TTC","Tactile",28,15,6,49
"124","Opblack","Durock/JWK","Linear",28,15,6,49
"125","'Aura' Frost Panda","Tecsee","Tactile",26,18,5,49
"126","Moyu Black","Durock/JWK","Tactile",27,17,5,49
"127","Naevy V1","Tecsee","Tactile",28,14,7,49
"128","Cow Orange","Tecsee","Linear",25,18,6,49
"129","SP Star Sacramento","SP Star","Linear",26,17,6,49
"130","Strawberry Jelly V2","Huano","Linear",24,21,4,49
"131","Designer Studio Graphite Gold","Durock/JWK","Linear",27,16,6,49
"132","Lubed Black Geon Switch","Tecsee","Linear",27,16,6,49
"133","KFA Lubed Pink Robin","Aflion","Linear",27,17,5,49
"134","Akko V3 Cream Yellow","KTT","Linear",27,16,6,49
"135","Gateron Yellow KS-8","Gateron","Linear",27,15,6,48
"136","TTC Gold Pink","TTC","Linear",27,15,6,48
